time_seconds,type,message
0.561,"vibration","📊 ВИБРАЦИЯ: X=0.0052 Y=0.0060 Z=0.0051 | TOTAL=0.0094 m/s²"
0.561,"bar","   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.561,"telemetry","packetCounter: 38867 | sampleTimeFine: 10477398 | Roll: -179.59° Pitch: 1.00° Yaw: -179.84° | Acc: (-0.16, -0.11, -9.81) m/s² | Gyro: (-0.28, -0.29, -0.15) deg/s"
0.571,"vibration","📊 ВИБРАЦИЯ: X=0.0053 Y=0.0060 Z=0.0050 | TOTAL=0.0094 m/s²"
0.571,"bar","   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.571,"telemetry","packetCounter: 38868 | sampleTimeFine: 10477498 | Roll: -179.59° Pitch: 1.00° Yaw: -179.83° | Acc: (-0.16, -0.11, -9.81) m/s² | Gyro: (-0.40, -0.05, -0.59) deg/s"
0.581,"vibration","📊 ВИБРАЦИЯ: X=0.0055 Y=0.0058 Z=0.0050 | TOTAL=0.0094 m/s²"
0.581,"bar","   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.581,"telemetry","packetCounter: 38869 | sampleTimeFine: 10477598 | Roll: -179.59° Pitch: 1.01° Yaw: -179.83° | Acc: (-0.14, -0.10, -9.81) m/s² | Gyro: (0.45, -0.28, -0.42) deg/s"
0.590,"vibration","📊 ВИБРАЦИЯ: X=0.0056 Y=0.0059 Z=0.0050 | TOTAL=0.0096 m/s²"
0.590,"bar","   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.591,"telemetry","packetCounter: 38870 | sampleTimeFine: 10477698 | Roll: -179.59° Pitch: 1.01° Yaw: -179.83° | Acc: (-0.16, -0.11, -9.80) m/s² | Gyro: (-0.08, -0.18, -0.20) deg/s"
0.601,"vibration","📊 ВИБРАЦИЯ: X=0.0057 Y=0.0059 Z=0.0051 | TOTAL=0.0096 m/s²"
0.601,"bar","   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.601,"telemetry","packetCounter: 38871 | sampleTimeFine: 10477798 | Roll: -179.59° Pitch: 1.01° Yaw: -179.82° | Acc: (-0.14, -0.11, -9.81) m/s² | Gyro: (-0.51, -0.16, -0.31) deg/s"
0.611,"vibration","📊 ВИБРАЦИЯ: X=0.0058 Y=0.0059 Z=0.0051 | TOTAL=0.0097 m/s²"
0.611,"bar","   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.611,"telemetry","packetCounter: 38872 | sampleTimeFine: 10477898 | Roll: -179.59° Pitch: 1.01° Yaw: -179.82° | Acc: (-0.16, -0.10, -9.82) m/s² | Gyro: (0.06, -0.77, -0.37) deg/s"
0.621,"vibration","📊 ВИБРАЦИЯ: X=0.0061 Y=0.0059 Z=0.0051 | TOTAL=0.0099 m/s²"
0.621,"bar","   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.621,"telemetry","packetCounter: 38873 | sampleTimeFine: 10477998 | Roll: -179.59° Pitch: 1.02° Yaw: -179.82° | Acc: (-0.14, -0.11, -9.81) m/s² | Gyro: (0.26, -0.37, -0.35) deg/s"
0.630,"vibration","📊 ВИБРАЦИЯ: X=0.0061 Y=0.0060 Z=0.0049 | TOTAL=0.0099 m/s²"
0.630,"bar","   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.631,"telemetry","packetCounter: 38874 | sampleTimeFine: 10478098 | Roll: -179.59° Pitch: 1.02° Yaw: -179.81° | Acc: (-0.14, -0.10, -9.81) m/s² | Gyro: (0.08, -0.39, -0.33) deg/s"
0.641,"vibration","📊 ВИБРАЦИЯ: X=0.0061 Y=0.0061 Z=0.0049 | TOTAL=0.0099 m/s²"
0.641,"bar","   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.641,"telemetry","packetCounter: 38875 | sampleTimeFine: 10478198 | Roll: -179.59° Pitch: 1.03° Yaw: -179.81° | Acc: (-0.15, -0.12, -9.81) m/s² | Gyro: (-0.35, -0.37, 0.22) deg/s"
0.651,"vibration","📊 ВИБРАЦИЯ: X=0.0061 Y=0.0061 Z=0.0049 | TOTAL=0.0099 m/s²"
0.651,"bar","   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.651,"telemetry","packetCounter: 38876 | sampleTimeFine: 10478298 | Roll: -179.60° Pitch: 1.03° Yaw: -179.81° | Acc: (-0.16, -0.11, -9.81) m/s² | Gyro: (-0.55, -0.50, -0.32) deg/s"
0.662,"vibration","📊 ВИБРАЦИЯ: X=0.0061 Y=0.0063 Z=0.0049 | TOTAL=0.0100 m/s²"
0.662,"bar","   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.663,"telemetry","packetCounter: 38877 | sampleTimeFine: 10478398 | Roll: -179.60° Pitch: 1.03° Yaw: -179.81° | Acc: (-0.15, -0.09, -9.81) m/s² | Gyro: (-0.81, -0.31, -0.44) deg/s"
0.671,"vibration","📊 ВИБРАЦИЯ: X=0.0062 Y=0.0063 Z=0.0049 | TOTAL=0.0101 m/s²"
0.671,"bar","   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
